Country,Age,"Height, cm","Weight, kg",Medals
Afghanistan,24.2,172,60.3,1
Albania,24.5,177.3,78.3,0
Algeria,24.4,173.9,66.8,1
American Samoa,21.2,173.3,81.4,0
Andorra,28.3,172,67.3,0
Angola,26.5,174.7,69.2,0
Antigua and Barbuda,23,176.7,71.7,0
Argentina,27.7,179.9,77.8,4
Armenia,25.8,175,78.1,3
Aruba,23.8,172.5,76.8,0
Australia,26.4,179.1,75.5,35
Austria,28.1,177.3,70.8,0
Azerbaijan,25,173.5,75.4,10
Bahamas,25.5,179,73.7,1
Bahrain,22.8,167,53.4,1
Bangladesh,20.6,166.8,64.5,0
Barbados,23,183.5,74.2,0
Belarus,26.5,177,74.6,12
Belgium,27.2,177.8,71,3
Belize,27.3,164,66.7,0
Benin,26.2,174.6,69,0
Bermuda,27.8,175.2,67.7,0
Bhutan,27.5,155,60,0
Bolivia,25,178,80,0
Bosnia and Herzegovina,28,182.5,81,0
Botswana,23.8,179,60,1
Brazil,27,178.5,74.6,17
Brunei Darussalam,18.7,168,59,0
Bulgaria,26.4,177.2,73.3,2
Burkina Faso,22.8,173.4,67.4,0
Burundi,21.6,173.5,64.4,0
Côte d'Ivoire,23.6,172.5,65.7,0
Cambodia,22.5,169.5,57.8,0
Cameroon,23.7,167.4,67.8,0
Canada,26.6,175.8,72.4,18
Cape Verde,22.3,176.3,75.3,0
Cayman Islands,25.8,183,78.8,0
Central African Republic,23.3,172.7,,0
Chad,18.7,171.3,67.3,0
Chile,29.1,171.8,71.5,0
China,24.3,176.6,71.3,88
Colombia,24.9,170.3,63.4,8
Comoros,21.3,165.3,56.7,0
Congo,26.1,173.9,71.8,0
Cook Islands,19,164.3,72.9,0
Costa Rica,26.2,175,67.8,0
Croatia,27.5,185.1,84,6
Cuba,25.1,,73.1,14
Cyprus,25.8,177.3,73,1
Czech Republic,26.9,180.7,76.3,10
Democratic People's Republic of Korea,21.8,162.9,57.7,0
Democratic Republic of the Congo,25.8,177.8,78,0
Democratic Republic of Timor-Leste,24,159.5,53,0
Denmark,27.9,180.9,75.9,9
Djibouti,19.5,,,0
Dominica,21.5,169,59,0
Dominican Republic,24.8,175.6,66.2,2
Ecuador,25.1,171.6,63.6,0
Egypt,24.4,174.7,75.9,2
El Salvador,23.4,169.8,65.5,0
Equatorial Guinea,29,176,68,0
Eritrea,24.6,173.4,59.5,0
Estonia,27.2,183.3,85.8,2
Ethiopia,23.5,170,54.1,7
Federated States of Micronesia,27.5,165.5,69,0
Fiji,25.1,175,79.4,0
Finland,28,175.6,70,3
Former Yugoslav Republic of Macedonia,19.5,177.5,68,0
France,26.9,178,72,34
Gabon,21.8,172.7,72.6,1
Gambia,22,155,68,0
Georgia,25.1,177.2,77.7,7
Germany,26.8,179.6,76,44
Ghana,23.6,168.8,69.8,0
Great Britain,26.3,178.9,74.5,65
Greece,26.9,179.7,76.6,2
Grenada,24.3,177.8,62.3,1
Guam,23.6,176.1,85.6,1
Guatemala,24.2,172.1,73.9,0
Guinea,22.5,169.5,79.8,0
Guinea-Bissau,25.8,168.3,67,0
Guyana,24,172.7,63.8,0
Haiti,24.8,160,52,0
Honduras,22.1,168.6,69.8,0
"Hong Kong, China",24.8,170.2,64.4,1
Hungary,26.3,181.2,78.7,17
Iceland,28.3,190.9,94.9,0
Independent Olympic Athletes,24.8,177,72.8,0
India,25.5,170,66.7,6
Indonesia,23.5,165.6,62.8,2
Iraq,22.5,171.3,75.2,12
Ireland,28.5,175.4,67.4,5
Islamic Republic of Iran,25.2,178.7,82.5,0
Israel,24.6,174.7,71.8,0
Italy,27.4,177.9,72.8,28
Jamaica,26.4,175,71.1,12
Japan,25.2,169.3,64.2,38
Jordan,24.7,173,64.8,0
Kazakhstan,25.9,177.1,74,13
Kenya,24.8,169.2,58.2,11
Kiribati,21.3,164.3,76,0
Kuwait,29,179.3,79.1,1
Kyrgyzstan,22.8,175.5,73.2,0
Lao People's Democratic Republic,18,166,58.3,0
Latvia,26.2,181.4,77.9,2
Lebanon,21.8,174.3,69.1,0
Lesotho,23,169.5,58.5,0
Liberia,26,173.3,71,0
Libya,28.5,172.5,62.5,0
Liechtenstein,26.3,174.7,67.3,0
Lithuania,27.2,183.8,80.8,5
Luxembourg,29.2,177,67.3,0
Madagascar,24.6,169.4,64.6,0
Malawi,23,171.3,71.3,0
Malaysia,23.8,168.8,62.7,2
Maldives,19.4,164.6,54.2,0
Mali,25.5,168,77,0
Malta,24.4,173.2,72,0
Marshall Islands,20.5,173.3,74.5,0
Mauritania,22.5,165,55.5,0
Mauritius,24.1,171,63.8,0
Mexico,24.9,171.9,67.9,7
Monaco,28.8,180.3,73.2,0
Mongolia,26.2,169.6,67.2,5
Montenegro,27.3,183.3,82.6,1
Morocco,25.4,175.2,66.8,1
Mozambique,22.2,172.2,65.6,0
Myanmar,28,167.7,61,0
Namibia,27.6,169.9,57.4,0
Nauru,27,172,106.5,0
Nepal,21.5,164,62,0
Netherlands,27.2,180.4,73.7,20
New Zealand,25.6,177.6,73.6,13
Nicaragua,25.2,174,58.3,0
Niger,23.7,172.8,64.6,0
Nigeria,25.1,180.8,66.7,0
Norway,27.7,178.3,86.5,4
Oman,22.8,168.3,65.5,0
Pakistan,25.7,,,0
Palau,21.4,163.4,57.4,0
Palestine,21.6,171.2,63,0
Panama,22.9,175.3,73.2,0
Papua New Guinea,24.3,166.7,66,0
Paraguay,22.5,174,68,0
Peru,24.3,170,62.9,0
Philippines,25.7,168.7,71.1,0
Poland,26.5,180.5,76.4,10
Portugal,28.2,174.4,69,1
Puerto Rico,23.6,179.7,75.1,2
Qatar,22.3,170.8,63.7,2
Republic of Korea,25.6,173.7,69,6
Republic of Moldova,24.3,176.7,73.3,0
Romania,26,176.8,75.4,9
Russian Federation,26.1,179,74.4,82
Rwanda,24.8,164.2,59,0
Saint Kitts and Nevis,24.4,172,70.4,0
Saint Lucia,26.3,170.5,64.5,0
Samoa,27.5,178,78.8,0
San Marino,29.7,169,69.3,0
Sao Tome and Principe,23,173.5,64.5,0
Saudi Arabia,29.2,,77.7,1
Senegal,24.3,180.5,74.1,0
Serbia,26.4,186,82.7,4
Seychelles,19.2,172.6,71.8,0
Sierra Leone,33,176,64,0
Singapore,23.5,166.9,63,2
Slovakia,27.3,177.6,71.7,4
Slovenia,26,176.8,71.4,4
Solomon Islands,28.3,,58,0
Somalia,19.5,,,0
South Africa,25.4,175,69,6
Spain,27.1,177.4,73.3,17
Sri Lanka,27.2,171,61.4,0
St Vincent and the Grenadines,22,180.5,73.5,0
Sudan,23,175.8,61.7,0
Suriname,20.8,168.3,65,0
Swaziland,22,175.3,72.7,0
Sweden,28.4,177.9,73,8
Switzerland,26.7,179.3,73.9,4
Syrian Arab Republic,24.8,178.2,80.9,0
Taipei (Chinese Taipei),24.3,170.2,69.9,0
Tajikistan,26.9,175.1,79,1
Thailand,24,167.9,65.8,3
Togo,23.8,173.6,68.8,0
Tonga,24.7,183,79,0
Trinidad and Tobago,24.1,174.1,77.5,4
Tunisia,25.3,183.5,81.6,3
Turkey,25.7,174.8,71,5
Turkmenistan,23,174.7,72.6,0
Tuvalu,20.3,158,68,0
Uganda,23.8,170.2,58.8,1
Ukraine,26.1,177.1,73.6,20
United Arab Emirates,23.5,174.7,69.9,0
United Republic of Tanzania,27.2,171.3,56.2,0
United States of America,27.1,179,75.9,104
Uruguay,23.6,179.6,74.6,0
Uzbekistan,25.4,175.3,76.1,4
Vanuatu,24.6,172,73,0
Venezuela,26.3,170.7,69.7,1
Vietnam,23.3,163.3,57.3,0
"Virgin Islands, British",24,,,0
"Virgin Islands, US",23.7,179.6,73.4,0
Yemen,20,170.3,58,0
Zambia,22.6,176,75.2,0
Zimbabwe,27,174.5,69,0
